Appartements,,
"Type d'appartements, il existe 2 types d'appartements",RIPT/Appartements privés,
,,
RIPT,Réglementation,"RIPT c'est la résidence immobilière de promotion touristique, un statut qui permet d'acquérir un bien immobilier avec une obligation de signer un bail avec le gestionnaire de la résidence, en l'occurrence ici SOHO hoteles moyennant un loyer annuel représentant 5% du prix d'acquisition sur une durée de 9 ans
Le propriétaire également bénéficie d'une jouissance de 50 jours annuellement "
RIPT,Avantages,"Rendement annuel représentant 5% du prix d'acquisition sur une durée de 9 ans
Le bien est gérée professionnememt par SOHO hoteles
Aucun frais ni charges de syndic 
Achat d'un appartement meublé aux standard de l'hôtel
Possibilité de jouissance du bien avec services hoteliers prémium 50 jours par an
"
RIPT,Consistance/ catégorie/ type,"la résidence est composée d'appartements de différents types, on a du F1, F2 ou F3
"
RIPT,Prix,"on est à 32000 DH/m², place de parking incluse"
RIPT,Modalités de réservation,"30% à la réservation, 20% à la fin des travaux gros œuvres et le reste à la livraison"
RIPT,Type de contrat,c'est un contrat de réservation sous seing privé
RIPT,VEFA,"la VEFA n'a pas encore été mise en place mais pour plus d'informations je peux vous mettre en relation avec l'équipe commerciale 
"
RIPT,Catégorie /nombre de chambre,"Le F1 c'est une chambre avec SDB et cuisine ouverte, 
le F2 c'est 1 chambre, un salon avec une cuisine soit ouverte ou fermée
Le F3 c'est 2 chambres salon avec cuisine fermée"
RIPT,Places de parking,Charque appartement dispose d'une place de parking titrée au sous sol
RIPT,Ameublement,chaque appartement sera livrée meublé aux standard du gestionnaire
RIPT,superficie,voir la brochure
RIPT,Budget,"en fonction des surfaces, il varie pour:
 les F1 entre 1,3 MDH et 1,8 MDH
Les F2, on est sur une moyenne de 2,3 Mdh 
Et pour les F3 on est sur une moyenne de 3,6  mdh "
RIPT,vue mer / vis-à-vis,"tous les appartements auront une vue panoramique sur la baie de tanger, quelques rares exceptions, il faudra les voir avec le commercial"
RIPT,disponibilité immediate ou sur plan/ titré ou pas,"La vente est réalisée sur plan, la date de livraison est prévue en septembre 2027
"
RIPT,Finitions et matériaux,"lil s'agit de finition de tres haut standing, les commerciaux disposent d'une note technique détaillée avec les matériaux à utiliser, ils vous donneront plus de détail, souhaitez être contacter par un commercial"
RIPT,Charges de copropriété,"parmi les avantages de l'achat dans les résidences RIPT, c'est que l'acquéreur sera dispensé de toutes les charges de copropriété pendant 9 ans"
RIPT,Disponibilité appartement temoin,"pas encore, nous avons un objectif d'avoir un appartement témoin disponible vers la fin de 2026"
RIPT,date de livraison,ca sera en septembre 2027
RIPT,Possibilité de négociation du prix,"A ma connaissance, les prix sont fixes mais pour plus de détails, il faudra consulter un commercial, souhaitez vous que je vous prenes un RDv"
RIPT,possibilité de visite,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"
,,
,,
Appartements privés,Réglementation,il s'agit d'une copropriété standard régie par un règlement de copropriété
Appartements privés,Avantages,il n'existe pas d'avantages particuliers à l'exception de disposer de son appartement librement sans conditions
Appartements privés,Consistance/ catégorie/ type,"la résidence est composée d'appartements de différents types F2 (1 chambre), F3 (2 chambres), F4 (3 chambres)"
Appartements privés,Prix,"on est à 35000 DH/m², place de parking incluse et les terrasses sont à moitié prix"
Appartements privés,Modalités de réservation,"30% à la réservation, 20% à la fin des travaux gros œuvres et le reste à la livraison"
Appartements privés,Type de contrat,c'est un contrat de réservation sous seing privé
Appartements privés,VEFA,"la VEFA n'a pas encore été mise en place mais pour plus d'informations je peux vous mettre en relation avec l'équipe commerciale 
"
Appartements privés,Catégorie /nombre de chambre,"le F2 c'est 1 chambre, un salon avec une cuisine soit ouverte ou fermée
Le F3 c'est 2 chambres salon avec cuisine fermée
Le F4 c'est 3 chambres salon avec cuisine fermée"
Appartements privés,Places de parking,Charque appartement dispose d'une place de parking titrée au sous sol
Appartements privés,Ameublement,"non les appartements ne seront pas meublés, ils seront meublés sur les résidences RIPT seulement"
Appartements privés,superficies,voir la brochure
Appartements privés,Budget,"en fonction des surfaces, il varie pour:
 les F2 entre 2,1 MDH et 2,6 MDH
 les F3 entre 3,5 MDH et 5 MDH
Et pour les F4 entre 5,3 MDH et 7 MDH"
Appartements privés,vue mer / vis-à-vis,tous les appartements auront une vue panoramique sur la mer baie de tanger
Appartements privés,disponibilité immediate ou sur plan/ titré ou pas,"La vente est réalisée sur plan, la date de livraison est prévue en septembre 2027
"
Appartements privés,Finitions et matériaux,"lil s'agit de finition de tres haut standing, les commerciaux disposent d'une note technique détaillée avec les matériaux à utiliser, ils vous donneront plus de détail, souhaitez être contacter par un commercial"
Appartements privés,Charges de copropriété,"pour le moment, le budget de fonctionnement n'a pas été détérminé par ailleurs, la résidence sera géré par une société privée qui se chargera annuelement de présenter le budget annuel aux acquéreurs"
Appartements privés,Disponibilité appartement temoin,"pas encore, nous avons un objectif d'avoir un appartement témoin disponible vers la fin de 2026"
Appartements privés,date de livraison,ca sera en septembre 2027
Appartements privés,Possibilité de négociation du prix,"A ma connaissance, les prix sont fixes mais pour plus de détails, il faudra consulter un commercial, souhaitez vous que je vous prenes un RDv"
Appartements privés,possibilité de visite,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"