Lot de terrains,,
"Type de terrain, il existe 2 types de villas, en bande et jumelée",,
,,
Bande,Définition,"les villas en bande sont ceux qui ont une mitoyenneté sur les facades latérales, la villa a 2 façades éclairées"
Bande,superficie,entre 220 m² et 320 m²
Bande,prix,Prix fixe de 18000 dh/m² quel que soit l'emplacement du lot
Bande,modalités de paiment,"50% d'avance à la réservation
50% à la livraison du titre foncier"
Bande,Type de contrat,c'est une demande de mise en option que le client nous fournit
Bande,VEFA,"il n'existe pas de VEFA permettant la vente de lots de terrain
"
Bande,constructibilité et reglementation,"la villa est soumise aux dispositions du cahier de charge du lotissement, on peut construire sur une emprise de 60% au sol, en RDC plus 2 étages, le premier étage doit occuper 80% du RDC et le deuxième étage 50% de la surface construite au 1er étage, le sous sol est aussi autorisé, il peut occupé toute l'emprise du RDC 
"
Bande,disponibilité immediate ou sur plan/ titré ou pas,"La vente est réalisée sur plan, la date de livraison des lots titrés est prévue en décembre 2025
"
Bande,possibilité de visite et d'étude du terrain,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"
Bande,possibilité de visite des lots,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"
Bande,Charges de copropriété,"pour le moment, le budget de fonctionnement n'a pas été détérminé par ailleurs, la résidence sera gérée par une société privée qui se chargera annuelement de présenter le budget annuel aux acquéreurs"
Bande,date de livraison,"Lots livrés avec titres fonciers depuis décembre 2025 — disponibles immédiatement"
Bande,Orientation des lots,la facade donnant sur la baie de tanger est majoritairement en orientation Ouest
Bande,Vue/ vis-à-vis,"tous les lots auront une vue panoramique sans vis-à-vis sur la baie de tanger au moins au niveau du 2è étage, pour votre choix, il faut visiter sur place et avoir plus de détail du commercial"
Bande,Budget,"les budgets varient en fonction de la surface, ca démarre à 3,2 mdh"
,,
,,
Jumelée,Définition,les villas jumelées disposent de 3 facades latérales et une mitoyenneté avec le voisin
Jumelée,superficie,entre 330 m² et 680 m²
Jumelée,prix,Prix fixe de 16000 dh/m² quel que soit l'emplacement du lot
Jumelée,modalités de paiment,"50% d'avance à la réservation
50% à la livraison du titre foncier"
Jumelée,Type de contrat,c'est une demande de mise en option que le client nous fournit
Jumelée,VEFA,"il n'existe pas de VEFA permettant la vente de lots de terrain
"
Jumelée,constructibilité et reglementation,"la villa est soumise aux dispositions du cahier de charge du lotissement, on peut construire sur une emprise de 40% au sol, en RDC plus 2 étages, le premier étage doit occuper 80% du RDC et le deuxième étage 50% de la surface construite au 1er étage, le sous sol est aussi autorisé, il peut occupé toute l'emprise du RDC 
"
Jumelée,disponibilité immediate ou sur plan/ titré ou pas,"La vente est réalisée sur plan, la date de livraison des lots titrés est prévue en décembre 2025
"
Jumelée,possibilité de visite et d'étude du terrain,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"
Jumelée,possibilité de visite des lots,"nos commerciaux sont disponibles sur site, si vous souhaitez prendre RDV, je peux vous organiser cela"
Jumelée,Charges de copropriété,"pour le moment, le budget de fonctionnement n'a pas été détérminé par ailleurs, la résidence sera gérée par une société privée qui se chargera annuelement de présenter le budget annuel aux acquéreurs"
Jumelée,date de livraison,"Lots livrés avec titres fonciers depuis décembre 2025 — disponibles immédiatement"
Jumelée,Orientation des lots,la facade donnant sur la baie de tanger est majoritairement en orientation Ouest
Jumelée,Vue/ vis-à-vis,"tous les lots auront une vue panoramique sans vis-à-vis sur la baie de tanger au moins au niveau du 2è étage, pour votre choix, il faut visiter sur place et avoir plus de détail du commercial"
Jumelée,Budget,"les budgets varient en fonction de la surface, c'est à partir de 5,3 MDH"